Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Approved LMIAs,Approved Positions,Postal_Code,Latitude,Longitude
Manitoba,High Wage,Teledact Inc.,"Winnipeg, MB R3J 0P5",31102-General practitioners and family physicians,Unknown,1,1,R3J 0P5,49.8966,-97.2404
Manitoba,High Wage,Tiffin Nation Inc.,"Winnipeg, MB R3J 0G2",63200-Cooks,Unknown,1,1,R3J 0G2,49.8966,-97.2404
Manitoba,High Wage,TIPI Group of Companies LP,"Winnipeg, MB R3G 0R8",11200-Human resources professionals,Unknown,1,1,R3G 0R8,49.8876,-97.1807
Manitoba,High Wage,Town Autobody and Car Sales ltd,"Winnipeg, MB R2W 4J6",72106-Welders and related machine operators,Unknown,1,3,R2W 4J6,49.9195,-97.1354
Manitoba,High Wage,Town Autobody and Car Sales ltd,"Winnipeg, MB R2W 4J6","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,3,R2W 4J6,49.9195,-97.1354
Manitoba,High Wage,Town Autobody and Car Sales ltd,"Winnipeg, MB R2W 4J6","72411-Auto body collision, refinishing and glass technicians and damage repair estimators",Unknown,1,3,R2W 4J6,49.9195,-97.1354
Manitoba,High Wage,TRANSMAX LTD,"Winnipeg, MB R2G 0L9",73300-Transport truck drivers,Unknown,1,10,R2G 0L9,49.9413,-97.0571
Manitoba,High Wage,True North Waste Management Ltd.,"Winnipeg, MB R3E 0N4",75110-Construction trades helpers and labourers,Unknown,1,2,R3E 0N4,49.9081,-97.1779
Manitoba,High Wage,TURBUNATOR TRANSPORT LTD,"Winnipeg, MB R2V 3N9",73300-Transport truck drivers,Unknown,1,4,R2V 3N9,49.9548,-97.1112
Manitoba,High Wage,United Dhillon Truck Lines Inc.,"WINNIPEG, MB R3W 0L9",73300-Transport truck drivers,Unknown,1,10,R3W 0L9,49.9141,-97.0401
Manitoba,High Wage,University of Manitoba,"Winnipeg, MB R3T 2N2",41200-University professors and lecturers,Unknown,10,10,R3T 2N2,49.8143,-97.1531
Manitoba,High Wage,Venetian Nail Spa Ltd.,"Winnipeg, MB R2C 4J2",62029-Other services supervisors,Unknown,1,2,R2C 4J2,49.9247,-96.9563
Manitoba,High Wage,VIP DUTTS SPICE CIRCLE EAST INDIAN RESTAURANT INC.,"Winnipeg, MB R3J 0K3",62200-Chefs,Unknown,1,2,R3J 0K3,49.8966,-97.2404
Manitoba,High Wage,Wanda Trading Inc,"winnipeg, MB R3H 0L2","12013-Supervisors, supply chain, tracking and scheduling coordination occupations",Unknown,1,1,R3H 0L2,49.9033,-97.2074
Manitoba,High Wage,Western Canadian Aerial Ltd,"Franklin, MB R0J 0S0","72600-Air pilots, flight engineers and flying instructors",Unknown,1,7,R0J 0S0,50.5842,-100.1345
Manitoba,High Wage,Western Medical Clinic Medical Corporation,"Brandon, MB R7B 4H7",31102-General practitioners and family physicians,Unknown,1,2,R7B 4H7,49.842,-99.9831
Manitoba,Low Wage,10012329 MANITOBA LTD,"WINNIPEG, MB R2P 0T4",62020-Food service supervisors,Unknown,1,1,R2P 0T4,49.9696,-97.1554
Manitoba,Low Wage,10012329 MANITOBA LTD,"WINNIPEG, MB R2P 0T4",63200-Cooks,Unknown,1,2,R2P 0T4,49.9696,-97.1554
Manitoba,Low Wage,10017977 Manitoba Ltd,"Altona, MB R0G 0B0","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,R0G 0B0,49.4394,-98.0869
Manitoba,Low Wage,10017977 Manitoba Ltd,"Morris, MB R0G 1K0","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2,R0G 1K0,49.4394,-98.0869
Manitoba,Low Wage,10030394 Manitoba Ltd.,"Brandon, MB R7A 2V8",63200-Cooks,Unknown,1,1,R7A 2V8,49.8174,-99.9565
Manitoba,Low Wage,10047055 Manitoba Ltd.,"Selkirk, MB R1A 1R3",62020-Food service supervisors,Unknown,1,1,R1A 1R3,50.1436,-96.8845
Manitoba,Low Wage,10068941 Manitoba Ltd,"Winnipeg, MB R2K 2M5",62020-Food service supervisors,Unknown,2,2,R2K 2M5,49.9203,-97.083
Manitoba,Low Wage,10074525 MANITOBA CORPORATION,"PORTAGE LA PRAIRIE, MB R1N 0L6",62020-Food service supervisors,Unknown,1,1,R1N 0L6,49.9728,-98.2926
Manitoba,Low Wage,10102572 Manitoba Ltd.,"GRAND RAPIDS, MB R0C 1E0",62010-Retail sales supervisors,Unknown,1,2,R0C 1E0,51.4132,-97.8525
Manitoba,Low Wage,104145068 MANITOBA LTD.,"BRANDON, MB R7B 2S9",65310-Light duty cleaners,Unknown,1,1,R7B 2S9,49.842,-99.9831
Manitoba,Low Wage,4274963 Manitoba Ltd.,"Winnipeg, MB R2V 2M5",63200-Cooks,Unknown,1,1,R2V 2M5,49.9548,-97.1112
Manitoba,Low Wage,4664613 MB LTD,"Flin Flon, MB R8A 0C6",63200-Cooks,Unknown,1,1,R8A 0C6,54.7682,-101.865
Manitoba,Low Wage,"5071291 MANITOBA LTD., 5226082 MANITOBA LTD., EMA PROPERTIES(MANITOBA) LTD.","WINNIPEG, MB R2M 3E1",62020-Food service supervisors,Unknown,1,1,R2M 3E1,49.8396,-97.1147
Manitoba,Low Wage,5701199 Manitoba Ltd.,"Dauphin, MB R7N 1K6",62020-Food service supervisors,Unknown,1,1,R7N 1K6,51.1494,-100.0502
Manitoba,Low Wage,6101267 Manitoba Ltd o/a Domino's Pizza,"Selkirk, MB R1A 1T4",62020-Food service supervisors,Unknown,1,1,R1A 1T4,50.1436,-96.8845
Manitoba,Low Wage,6340548 Manitoba Ltd o/a Domino's Pizza,"Winnipeg, MB R3G 0R6",62020-Food service supervisors,Unknown,1,1,R3G 0R6,49.8876,-97.1807
Manitoba,Low Wage,6340556 Manitoba Ltd o/a Domino's Pizza,"Winnipeg, MB R3N 0J8",62020-Food service supervisors,Unknown,1,1,R3N 0J8,49.8629,-97.1959
Manitoba,Low Wage,6803190 Manitoba Ltd.,"winnipeg, MB R3T 5J9",62020-Food service supervisors,Unknown,1,1,R3T 5J9,49.8143,-97.1531
Manitoba,Low Wage,6826076 Manitoba Ltd. O/A Subway,"Boissevain, MB R0K 0E0",62020-Food service supervisors,Unknown,1,1,R0K 0E0,49.555,-99.7154
Manitoba,Low Wage,7207426 Manitoba Ltd,"Winnipeg, MB R2C 4J2",62020-Food service supervisors,Unknown,1,1,R2C 4J2,49.9247,-96.9563
Manitoba,Low Wage,7207434 Manitoba Ltd,"Brandon, MB R7A 6P3",62024-Cleaning supervisors,Unknown,1,2,R7A 6P3,49.8174,-99.9565
Manitoba,Low Wage,Ackroyd Food Services Ltd,"Dauphin, MB R7N 3J5",62020-Food service supervisors,Unknown,1,1,R7N 3J5,51.1494,-100.0502
Manitoba,Low Wage,Bepul & Nabila Corporation,"Winnipeg, MB R3Y 0L2",63200-Cooks,Unknown,1,1,R3Y 0L2,49.7885,-97.2147
Manitoba,Low Wage,CHICKEN CITIES CORP.,"FLIN FLON, MB R8A 0W8",63200-Cooks,Unknown,1,1,R8A 0W8,54.7682,-101.865
Manitoba,Low Wage,Comte Industries Limited,"Notre Dame de Lourdes, MB R0G 1M0",95101-Labourers in metal fabrication,Unknown,1,3,R0G 1M0,49.4394,-98.0869
Manitoba,Low Wage,Crocus Lodge Inc.,"Brandon, MB R7C 1A7","65312-Janitors, caretakers and heavy-duty cleaners",Unknown,1,1,R7C 1A7,49.8817,-99.965
Manitoba,Low Wage,DGA FOOD SERVICE INC. O/A SUBWAY,"WINNIPEG, MB R2M 2Z8",62020-Food service supervisors,Unknown,2,2,R2M 2Z8,49.8396,-97.1147
Manitoba,Low Wage,DPZ Bridgwater Centre Ltd o/a Domino's Pizza,"Winnipeg, MB R3Y 0Y3",62020-Food service supervisors,Unknown,1,1,R3Y 0Y3,49.7885,-97.2147
Manitoba,Low Wage,DPZ Main Ltd o/a Domino's Pizza,"Winnipeg, MB R2R 2Z9",62020-Food service supervisors,Unknown,1,1,R2R 2Z9,49.9377,-97.2162
Manitoba,Low Wage,DPZ River City Ltd o/a Domino's Pizza,"Winnipeg, MB R2C 0P8",60030-Restaurant and food service managers,Unknown,1,1,R2C 0P8,49.9247,-96.9563
Manitoba,Low Wage,DPZ River City Ltd o/a Domino's Pizza,"Winnipeg, MB R2C 0P8",62020-Food service supervisors,Unknown,2,2,R2C 0P8,49.9247,-96.9563
Manitoba,Low Wage,Eastside Coatings Limited Partnership,"Winnipeg, MB R2J 0K4","94212-Plastic products assemblers, finishers and inspectors",Unknown,1,2,R2J 0K4,49.8665,-97.0633
Manitoba,Low Wage,First Magic Ltd.,"Winnipeg, MB R2M 2Y8",63210-Hairstylists and barbers,Unknown,2,2,R2M 2Y8,49.8396,-97.1147
Manitoba,Low Wage,first stop grocers,"WHITEMOUTH, MB R0E 2G0",62010-Retail sales supervisors,Unknown,1,1,R0E 2G0,50.4751,-95.961
Manitoba,Low Wage,Garden Hospitality Corp. Ltd.,"Winnipeg, MB R2V 3E1",63200-Cooks,Unknown,1,1,R2V 3E1,49.9548,-97.1112
Manitoba,Low Wage,HyLife Foods LP,"Neepawa, MB R0J 1H0","94141-Industrial butchers and meat cutters, poultry preparers and related workers",Unknown,1,50,R0J 1H0,50.5842,-100.1345
Manitoba,Low Wage,I.H.S Realty Ltd.,"winnipeg, MB R3Y 0H7",13100-Administrative officers,Unknown,1,1,R3Y 0H7,49.7885,-97.2147
Manitoba,Low Wage,Interlake Consumers Cooperative Limited,"Arborg, MB R0C 0A0",62010-Retail sales supervisors,Unknown,1,1,R0C 0A0,51.4132,-97.8525
Manitoba,Low Wage,J. Williamson Holdings,"Winnipeg, MB R3J 0K7",62020-Food service supervisors,Unknown,1,2,R3J 0K7,49.8966,-97.2404
Manitoba,Low Wage,Jowett Farms Corporation,"Blumenort, MB R0A 0C0","65312-Janitors, caretakers and heavy-duty cleaners",Unknown,1,1,R0A 0C0,49.2911,-96.2985
Manitoba,Low Wage,K&K2206282306 Ltd.,"Winnipeg, MB R3T 2H5",63200-Cooks,Unknown,1,1,R3T 2H5,49.8143,-97.1531
Manitoba,Low Wage,Kimbaek Restaurant,"Winnipeg, MB R3A 1G8",63200-Cooks,Unknown,1,1,R3A 1G8,49.9038,-97.1489
Manitoba,Low Wage,KM CARE SERVICES INC,"Winnipeg, MB R3J 1H9",65310-Light duty cleaners,Unknown,1,3,R3J 1H9,49.8966,-97.2404
Manitoba,Low Wage,Matrix Healthcare Solutions LTD.,"SAINTE ROSE DU LAC, MB R0L 1S0",14101-Receptionists,Unknown,1,1,R0L 1S0,52.0092,-100.2901
Manitoba,Low Wage,O'Rourke Qsr Corp,"The Pas, MB R9A 1K5",62020-Food service supervisors,Unknown,1,1,R9A 1K5,53.704,-101.2933
Manitoba,Low Wage,Parkland Residential & Vocational Services Inc,"Dauphin, MB R7N 1A9","33102-Nurse aides, orderlies and patient service associates",Unknown,2,4,R7N 1A9,51.1494,-100.0502
Manitoba,Low Wage,R & J Concessions INC,"Winnipeg, MB R3K 2E8","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,2,20,R3K 2E8,49.8734,-97.307
Manitoba,Low Wage,RMC Dispensing Group,"Winnipeg, MB R2C 1R3",64100-Retail salespersons and visual merchandisers,Unknown,1,1,R2C 1R3,49.9247,-96.9563
Manitoba,Low Wage,S.S.T Foods Ltd,"Lundar, MB R0C 1Y0",62020-Food service supervisors,Unknown,1,2,R0C 1Y0,51.4132,-97.8525
Manitoba,Low Wage,S.S.T Foods Ltd,"Lundar, MB R0C 1Y0",63200-Cooks,Unknown,2,3,R0C 1Y0,51.4132,-97.8525
Manitoba,Low Wage,Select Shows Blue Unit Ltd.,"Garson, MB R0E 0R0","65211-Operators and attendants in amusement, recreation and sport",Unknown,1,10,R0E 0R0,50.4751,-95.961
Manitoba,Low Wage,ShengShi Immigration Consulting Inc.,"Winnipeg, MB R3T 2E5",13110-Administrative assistants,Unknown,1,1,R3T 2E5,49.8143,-97.1531
Manitoba,Low Wage,ShengShi Immigration Consulting Inc.,"Winnipeg, MB R3T 2E5",64409-Other customer and information services representatives,Unknown,1,1,R3T 2E5,49.8143,-97.1531
Manitoba,Low Wage,Shree Jalaram Inc,"Winnipeg, MB R2V 3M7",62020-Food service supervisors,Unknown,1,2,R2V 3M7,49.9548,-97.1112
Manitoba,Low Wage,SINGH ENTERPRISES INCORPORATED,"Winnipeg, MB R3J 0H3","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,R3J 0H3,49.8966,-97.2404
Manitoba,Low Wage,Solid Foundations Montessori School Inc,"East Saint Paul, MB R2E 1E8",42202-Early childhood educators and assistants,Unknown,1,2,R2E 1E8,49.9791,-97.0128
Manitoba,Low Wage,SUBWAY,"Winnipeg, MB R3C 0G2",60030-Restaurant and food service managers,Unknown,1,1,R3C 0G2,50.011,-97.2184
Manitoba,Low Wage,SUBWAY,"Winnipeg, MB R3C 0G2",62020-Food service supervisors,Unknown,1,1,R3C 0G2,50.011,-97.2184
Manitoba,Low Wage,SWAN VALLEY COLLISION AND GLASS LTD,"SWAN RIVER, MB R0L 1Z0","72411-Auto body collision, refinishing and glass technicians and damage repair estimators",Unknown,1,1,R0L 1Z0,52.0092,-100.2901
Manitoba,Low Wage,The Canadian Brew House (Kenaston) Ltd. o/a,"Winnipeg, MB R3Y 1V5",62020-Food service supervisors,Unknown,1,1,R3Y 1V5,49.7885,-97.2147
Manitoba,Low Wage,The Canadian Brew House (Kenaston) Ltd. o/a,"Winnipeg, MB R3Y 1V5",63200-Cooks,Unknown,2,2,R3Y 1V5,49.7885,-97.2147
Manitoba,Low Wage,The North West Company LP,"Winnipeg, MB R3C 2R1",62010-Retail sales supervisors,Unknown,4,4,R3C 2R1,50.011,-97.2184
Manitoba,Low Wage,The North West Company LP,"Winnipeg, MB R3C 2R1","65102-Store shelf stockers, clerks and order fillers",Unknown,1,1,R3C 2R1,50.011,-97.2184
Manitoba,Low Wage,Unique Bunny LTD.,"Winnipeg, MB R3T 2G7",62010-Retail sales supervisors,Unknown,1,1,R3T 2G7,49.8143,-97.1531
Manitoba,Low Wage,Wil Corp,"Winnipeg, MB R3K 2G6",62020-Food service supervisors,Unknown,2,2,R3K 2G6,49.8734,-97.307
Manitoba,Low Wage,YOHANNES MELKIE DENTAL CORPORATION,"The Pas, MB R9A 1K9",14101-Receptionists,Unknown,1,2,R9A 1K9,53.704,-101.2933
Manitoba,Primary Agriculture,10051859 Manitoba LTD,"Treherne, MB R0G 2V0",85101-Harvesting labourers,Unknown,1,1,R0G 2V0,49.4394,-98.0869
Manitoba,Primary Agriculture,10089480 Manitoba Ltd.,"Souris, MB R0K 2C0",85100-Livestock labourers,Unknown,1,1,R0K 2C0,49.555,-99.7154
Manitoba,Primary Agriculture,324007 Alberta Ltd.,"Virden, MB R0M 2C0",85100-Livestock labourers,Unknown,1,2,R0M 2C0,49.711,-100.9263
Manitoba,Primary Agriculture,Border Genetics Ltd.,"Lowe Farm, MB R0G 1E0",85100-Livestock labourers,Unknown,1,4,R0G 1E0,49.4394,-98.0869
Manitoba,Primary Agriculture,Canmark Family Farming Ltd.,"Roblin, MB R0L 1P0",85100-Livestock labourers,Unknown,1,10,R0L 1P0,52.0092,-100.2901
Manitoba,Primary Agriculture,Genik Farms,"Gilbert Plains, MB R0L 0X0",82030-Agricultural service contractors and farm supervisors,Unknown,1,1,R0L 0X0,52.0092,-100.2901
Manitoba,Primary Agriculture,Haskett Growers (2014) Ltd.,"Stanley, MB R6P 0G4",85101-Harvesting labourers,Unknown,1,1,R6P 0G4,,
Manitoba,Primary Agriculture,Invernorth Ag Ventures,"Strathclair, MB R0J 2C0",82030-Agricultural service contractors and farm supervisors,Unknown,1,2,R0J 2C0,50.5842,-100.1345
Manitoba,Primary Agriculture,Loveday Mushroom Farms Ltd.,"Winnipeg, MB R2J 0A2",80020-Managers in agriculture,Unknown,1,1,R2J 0A2,49.8665,-97.0633
Manitoba,Primary Agriculture,MARGINET FAMILY FARMS LTD.,"Treherne, MB R0G 2V0",85101-Harvesting labourers,Unknown,1,7,R0G 2V0,49.4394,-98.0869
Manitoba,Primary Agriculture,Mid-Man Farms Ltd,"Carberry, MB R0K 0H0",82030-Agricultural service contractors and farm supervisors,Unknown,1,2,R0K 0H0,49.555,-99.7154
Manitoba,Primary Agriculture,Nichol Honey Farm Ltd.,"MacGregor, MB R0H 0R0",85100-Livestock labourers,Unknown,1,3,R0H 0R0,50.3458,-98.5152
Manitoba,Primary Agriculture,"Norquay Potatoes Inc, Heritage Haven Inc.","Bruxelles, MB R0G 0G0",82030-Agricultural service contractors and farm supervisors,Unknown,1,1,R0G 0G0,49.4394,-98.0869
Manitoba,Primary Agriculture,Robertson Farms (2010) Ltd,"Treherne, MB R0G 2V0",85101-Harvesting labourers,Corporation,2,13,R0G 2V0,49.4394,-98.0869
Manitoba,Primary Agriculture,Rustic  Oak Cattle And Grain Ltd,"Eden, MB R0J 0M0",84120-Specialized livestock workers and farm machinery operators,Unknown,1,1,R0J 0M0,50.5842,-100.1345
Manitoba,Primary Agriculture,SB VEGETABLE GROWERS LTD,"PORTAGE LA PRAIRIE, MB R1N 3B2",85101-Harvesting labourers,Unknown,1,3,R1N 3B2,49.9728,-98.2926
Manitoba,Primary Agriculture,Spud Plains Farms Ltd.,"Wellwood, MB R0K 2H0",82030-Agricultural service contractors and farm supervisors,Unknown,1,2,R0K 2H0,49.555,-99.7154
Manitoba,Primary Agriculture,Super-Gro Gilts Ltd,"Niverville, MB R0A 1E0",85100-Livestock labourers,Unknown,1,1,R0A 1E0,49.2911,-96.2985
Manitoba,Primary Agriculture,Twin River Ranch,"Hadashville, MB R0E 0X0",85100-Livestock labourers,Unknown,1,2,R0E 0X0,50.4751,-95.961
Manitoba,Primary Agriculture,Unity Trust,"LANDMARK, MB R0A 0X0",85100-Livestock labourers,Unknown,1,6,R0A 0X0,49.2911,-96.2985
Manitoba,Primary Agriculture,Verbruggen Prairie Farms Ltd.,"RM of Oakview, MB R0K 1X0",84120-Specialized livestock workers and farm machinery operators,Unknown,1,3,R0K 1X0,49.555,-99.7154
Manitoba,Primary Agriculture,Vermillion Growers Ltd,"Dauphin, MB R7N 1H1",82030-Agricultural service contractors and farm supervisors,Unknown,1,1,R7N 1H1,51.1494,-100.0502
Manitoba,Primary Agriculture,Vermillion Growers Ltd,"Dauphin, MB R7N 1H1",85101-Harvesting labourers,Unknown,1,6,R7N 1H1,51.1494,-100.0502
Manitoba,Primary Agriculture,W.F. FARMS LTD,"PORTAGE LA PRARIE, MB R1N 3A4",85101-Harvesting labourers,Unknown,2,6,R1N 3A4,49.9728,-98.2926
Manitoba,Primary Agriculture,Wenkai Oriental Vegetables,"Elie, MB R0H 0H0",85101-Harvesting labourers,Sole Proprietorship,1,1,R0H 0H0,50.3458,-98.5152
Saskatchewan,Global Talent Stream,Regina Exhibition Association Limited,"Regina, SK S4P 2Z6",22220-Computer network and web technicians,Unknown,1,1,S4P 2Z6,50.419,-104.6774
Saskatchewan,High Wage,101099449 Saskatchewan Ltd.,"Nipawin, SK S0E 1P0","72600-Air pilots, flight engineers and flying instructors",Unknown,2,2,S0E 1P0,53.1363,-103.0999
Saskatchewan,High Wage,101295288 Saskatchewan Ltd.,"Regina, SK S4N 6M5",60020-Retail and wholesale trade managers,Unknown,1,1,S4N 6M5,50.4671,-104.541
Saskatchewan,High Wage,102004506 Saskatchewan LTD,"Paradise Hill, SK S0M 2G0",62010-Retail sales supervisors,Unknown,1,1,S0M 2G0,54.9235,-108.9572
Saskatchewan,High Wage,102009104 Saskatchewan Ltd.,"Regina, SK S4R 1C9",73300-Transport truck drivers,Unknown,1,12,S4R 1C9,50.4855,-104.6163
Saskatchewan,High Wage,102017667 Saskatchewan Corp,"Cupar, SK S0G 0Y0",60030-Restaurant and food service managers,Unknown,1,1,S0G 0Y0,50.5767,-104.1
Saskatchewan,High Wage,102028231 Saskatchewan Corp,"Imperial, SK S0G 2J0","72600-Air pilots, flight engineers and flying instructors",Unknown,1,1,S0G 2J0,50.5767,-104.1
Saskatchewan,High Wage,102042112 Saskatchewan Ltd.,"Moose Jaw, SK S6H 6M4",62010-Retail sales supervisors,Unknown,1,1,S6H 6M4,50.3895,-105.5578
Saskatchewan,High Wage,102102092 SASKATCHEWAN CORP.,"REGINA, SK S4R 1Y4",60030-Restaurant and food service managers,Unknown,1,1,S4R 1Y4,50.4855,-104.6163
Saskatchewan,High Wage,102112604 Saskatchwan Ltd.,"Saskatoon, SK S7N 2G7",60030-Restaurant and food service managers,Unknown,1,1,S7N 2G7,52.1404,-106.608
Saskatchewan,High Wage,102113042 Saskatchewan Ltd.,"Rouleau, SK S0G 4H0",62010-Retail sales supervisors,Unknown,1,2,S0G 4H0,50.5767,-104.1
Saskatchewan,High Wage,102129213 Saskatchewan  Ltd,"Regina, SK S4P 2V2",21234-Web developers and programmers,Unknown,1,1,S4P 2V2,50.419,-104.6774
Saskatchewan,High Wage,102173727 Saskatchewan Ltd.,"Saskatoon, SK S7N 2H1",13100-Administrative officers,Unknown,1,1,S7N 2H1,52.1404,-106.608
Saskatchewan,High Wage,102178477 SASKATCHEWAN INC.,"Saskatoon, SK S7M 0S6","92015-Supervisors, textile, fabric, fur and leather products processing and manufacturing",Unknown,1,1,S7M 0S6,52.1133,-106.7235
Saskatchewan,High Wage,102190457 Saskatchewan Ltd,"Whitewood, SK S0G 5C0",60030-Restaurant and food service managers,Unknown,1,1,S0G 5C0,50.5767,-104.1
Saskatchewan,High Wage,1038849 Alberta Ltd.,"Davidson, SK S0G 1A0",63200-Cooks,Unknown,1,1,S0G 1A0,50.5767,-104.1
Saskatchewan,High Wage,11101323 Canada Inc.,"Regina, SK S4V 2Z6",73300-Transport truck drivers,Unknown,1,4,S4V 2Z6,50.4251,-104.5389
Saskatchewan,High Wage,Abben Heating & Plumbing Ltd.,"La Ronge, SK S0J 1L0",72300-Plumbers,Unknown,1,1,S0J 1L0,57.1992,-105.8242
Saskatchewan,High Wage,BAA FAMILY RESTAURANTS LTD.,"Saskatoon, SK S7R 0J1",60030-Restaurant and food service managers,Unknown,1,1,S7R 0J1,52.1588,-106.7163
Saskatchewan,High Wage,BAAZ IMMIGRATION INC.,"SASKATOON, SK S7K 2K2",13100-Administrative officers,Unknown,1,1,S7K 2K2,52.0111,-106.7955
Saskatchewan,High Wage,BINEWAL ROADLINE TRANSPORT INC,"Saskatoon, SK S7K 1W4",73300-Transport truck drivers,Unknown,1,3,S7K 1W4,52.0111,-106.7955
Saskatchewan,High Wage,Chung's Place Ltd.,"Saskatoon, SK S7L 1A9",60030-Restaurant and food service managers,Unknown,1,1,S7L 1A9,52.1564,-106.6873
Saskatchewan,High Wage,CLAAS of America,"Regina, SK S4N 5J3",62100-Technical sales specialists - wholesale trade,Unknown,1,1,S4N 5J3,50.4671,-104.541
Saskatchewan,High Wage,Clayton Air Service Ltd,"Leask, SK S0J 1M0","72600-Air pilots, flight engineers and flying instructors",Unknown,2,9,S0J 1M0,57.1992,-105.8242
Saskatchewan,High Wage,CMT Mechanical LTD,"Oxbow, SK S0C 2B0","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2,S0C 2B0,49.3961,-103.2567
Saskatchewan,High Wage,CROWN TRUCKING LTD,"Saskatoon, SK S7K 7G9",73300-Transport truck drivers,Unknown,1,2,S7K 7G9,52.0111,-106.7955
Saskatchewan,High Wage,D&G LOGISTICS INC,"REGINA, SK S4K 0A2",13100-Administrative officers,Unknown,1,1,S4K 0A2,50.4501,-104.6178
Saskatchewan,High Wage,Da India Sweets & Curry Rest. Inc.,"Regina, SK S4N 0R6",62020-Food service supervisors,Unknown,1,1,S4N 0R6,50.4671,-104.541
Saskatchewan,High Wage,Deedar Transportation,"Regina, SK S4W 0H3",13110-Administrative assistants,Unknown,1,1,S4W 0H3,50.4078,-104.6536
Saskatchewan,High Wage,Deedar Transportation,"Regina, SK S4W 0H3",14404-Dispatchers,Unknown,1,2,S4W 0H3,50.4078,-104.6536
Saskatchewan,High Wage,Deedar Transportation,"Regina, SK S4W 0H3",73300-Transport truck drivers,Unknown,1,9,S4W 0H3,50.4078,-104.6536
Saskatchewan,High Wage,Dr Javed Khan Dental Professional Corporation,"North Battleford, SK S9A 1E6",12200-Accounting technicians and bookkeepers,Unknown,1,1,S9A 1E6,52.7834,-108.2847
Saskatchewan,High Wage,DSM Glass & Aluminum Ltd,"Saskatoon, SK S7P 0C8",73111-Glaziers,Unknown,1,1,S7P 0C8,52.2751,-106.5005
Saskatchewan,High Wage,Eagle Flooring Ltd,"Regina, SK S4N 4E9",62010-Retail sales supervisors,Unknown,1,1,S4N 4E9,50.4671,-104.541
Saskatchewan,High Wage,Fantastic Transport Inc.,"Regina, SK S4N 5T6","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2,S4N 5T6,50.4671,-104.541
Saskatchewan,High Wage,FLYINGSTAR COURIER INC,"Yorkton, SK S3N 2V5",74102-Couriers and messengers,Unknown,1,1,S3N 2V5,51.2167,-102.4677
Saskatchewan,High Wage,"Giles Norek, Clayton Lomenda, Norenda Farms Inc","Gerald, SK S0A 1B0",12200-Accounting technicians and bookkeepers,Unknown,1,1,S0A 1B0,51.4818,-102.9065
Saskatchewan,High Wage,GOBIND'S TRANS LOGISTICS INC,"REGINA, SK S4W 0G9","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,S4W 0G9,50.4078,-104.6536
Saskatchewan,High Wage,Grab and Bite Convenience Ltd,"Prince Albert, SK S6V 6C7",60020-Retail and wholesale trade managers,Unknown,1,1,S6V 6C7,54.493,-104.3049
Saskatchewan,High Wage,Grewal Hospitality Inc.,"Regina, SK S4N 1W7","62022-Accommodation, travel, tourism and related services supervisors",Unknown,1,1,S4N 1W7,50.4671,-104.541
Saskatchewan,High Wage,H & M Food Ltd,"saskatoon, SK S7L 5Z9","92012-Supervisors, food and beverage processing",Unknown,1,1,S7L 5Z9,52.1564,-106.6873
Saskatchewan,High Wage,H D FLOORING LTD,"SASKATOON, SK S7K 5H1","72014-Contractors and supervisors, other construction trades, installers, repairers and servicers",Unknown,1,2,S7K 5H1,52.0111,-106.7955
Saskatchewan,High Wage,H&H Transport Inc.,"Regina, SK S4N 5T6",73300-Transport truck drivers,Unknown,1,12,S4N 5T6,50.4671,-104.541
Saskatchewan,High Wage,Hanley Heli Service Inc,"Hanley, SK S0G 2E0","72600-Air pilots, flight engineers and flying instructors",Unknown,1,2,S0G 2E0,50.5767,-104.1
Saskatchewan,High Wage,Heli-Recon Aerial Support Services Inc.,"Smeaton, SK S0J 2J0","72600-Air pilots, flight engineers and flying instructors",Unknown,1,2,S0J 2J0,57.1992,-105.8242
Saskatchewan,High Wage,Humboldt Electric Ltd.,"Saskatoon, SK S7P 0C7",72200-Electricians (except industrial and power system),Unknown,1,1,S7P 0C7,52.2751,-106.5005
Saskatchewan,High Wage,J & K GAS BAR CONVENIENCE LIMITED,"NORTH BATTLEFORD, SK S9A 0X2",65100-Cashiers,Unknown,1,2,S9A 0X2,52.7834,-108.2847
Saskatchewan,High Wage,JA Builders,"Regina, SK S4R 2E6",72310-Carpenters,Unknown,1,1,S4R 2E6,50.4855,-104.6163
Saskatchewan,High Wage,Jas Truck & Trailer Repair Inc.,"Regina, SK S4N 4N7","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2,S4N 4N7,50.4671,-104.541
Saskatchewan,High Wage,JORDAN HOME CONSTRUCTION LTD.,"SASKATOON, SK S7K 4E5",13100-Administrative officers,Unknown,1,1,S7K 4E5,52.0111,-106.7955
